2459479.3798907311 1.0003951684 0.0002278520  36.6679069500 29.9163274940 29.9437176578 0.0000016142
2459479.3800241137 1.0003179077 0.0002277897  36.1234196955 29.3728816820 31.1309323650 0.0000016687
2459479.3801574972 1.0000902931 0.0002277435  35.5783791966 29.6239671160 31.3276640196 0.0000017019
2459479.3802908808 1.0003562966 0.0002277866  35.0325937718 30.4783457372 31.2401961614 0.0000016845
2459479.3804242709 1.0002289824 0.0002278076  34.4860787203 30.0114143908 30.7466442813 0.0000015946
2459479.3805576544 0.9999723859 0.0002276831  33.9387870270 29.1615583780 30.2000325341 0.0000015905
2459479.3806910380 1.0002926030 0.0002277291  33.3905552026 28.9035547516 30.4350318412 0.0000016478
2459479.3808244206 1.0000979812 0.0002276924  32.8414357427 29.0978688332 30.4993553147 0.0000016493
2459479.3809578042 0.9999972893 0.0002276879  32.2912868035 29.4253625047 30.9199760521 0.0000016886
2459479.3810911877 1.0004664291 0.0002279547  31.7399977905 29.7407620200 31.0588964272 0.0000016715
2459479.3812245713 1.0004188934 0.0002279011  31.1876620684 29.1284966083 31.7882828803 0.0000015842
2459479.3813579548 1.0002455419 0.0002278276  30.6340890638 29.3036924075 31.3095413247 0.0000016223
2459479.3814913384 1.0001720337 0.0002278110  30.0792060037 29.6992405050 31.3525017472 0.0000016735
2459479.3816247270 1.0001704078 0.0002277729  29.5229639848 29.5154399170 31.1017191187 0.0000016571
2459479.3817581106 1.0000004532 0.0002277406  28.9653964001 29.3066955680 31.0630640153 0.0000017284
2459479.3818914942 1.0000168736 0.0002277396  28.4062708925 29.0124750446 30.5394350141 0.0000016219
2459479.3820248782 1.0001945271 0.0002281184  27.8456068482 29.3862147945 30.7471721570 0.0000016676
2459479.3821582617 1.0001959136 0.0002277381  27.2833404429 28.9533664906 30.4869138470 0.0000016104
2459479.3822916453 1.0001596820 0.0002277182  26.7194644492 29.6218338188 30.9975812358 0.0000016975
2459479.3824250340 0.9998596765 0.0002277444  26.1537372702 29.1936727490 31.3335586365 0.0000016977
2459479.3825584175 1.0003441655 0.0002278539  25.5862327160 28.9802672508 31.0671246409 0.0000016602
2459479.3826918011 1.0003565268 0.0002279050  25.0169190165 28.9722299629 31.5669895675 0.0000016916
2459479.3828251846 1.0002104643 0.0002278823  24.4455471161 29.1620414721 31.1554676860 0.0000016595
2459479.3829585682 1.0004894311 0.0002277107  23.8722428638 29.3269314500 31.6110993936 0.0000016949
2459479.3830919517 1.0001549240 0.0002276822  23.2967725445 29.2352397341 30.8681787441 0.0000017050
2459479.3832253348 0.9998436276 0.0002285963  22.7191718331 28.2747766259 31.8628156771 0.0000016776
2459479.3833587184 0.9995663580 0.0002276257  22.1393967311 29.1552298215 30.5787961564 0.0000017508
2459479.3834921019 1.0003142014 0.0002277607  21.5572520807 29.4230241289 31.0311957385 0.0000016669
2459479.3836254915 1.0003307183 0.0002277539  20.9727486250 29.5568499194 31.1249355430 0.0000016805
2459479.3837588751 1.0003434967 0.0002277460  20.3858654255 29.4869067665 31.9990057921 0.0000016406
2459479.3838922586 1.0001704661 0.0002279069  19.7964826601 29.1180933762 31.1234411886 0.0000016770
2459479.3840256417 1.0001650401 0.0002277907  19.2045864445 29.3711821435 31.9860230056 0.0000016452
2459479.3841590253 0.9999749773 0.0002278223  18.6100047386 29.1354410065 30.7339110915 0.0000016389
2459479.3842924088 0.9998658829 0.0002276588  18.0127522268 29.0775790951 30.8966221087 0.0000016479
2459479.3844257924 0.9997140548 0.0002276419  17.4127359874 30.4290386018 31.1910665714 0.0000016846
2459479.3845591759 0.9998390693 0.0002278221  16.8098233159 29.0804058745 31.0301570995 0.0000017146
2459479.3846925595 1.0000523777 0.0002276465  16.2040434256 29.4845709134 31.4958086555 0.0000017023
2459479.3848259482 0.9998925336 0.0002277598  15.5953169376 29.1563076135 31.7403456983 0.0000017152
2459479.3849593317 0.9999490637 0.0002277186  14.9834769483 29.0253759778 30.8233369224 0.0000016953
2459479.3850927153 1.0003474042 0.0002278311  14.3686326027 29.4236787604 30.8816417666 0.0000016481
2459479.3852260993 1.0006444741 0.0002277674  13.7505685534 29.4993293671 31.0594648916 0.0000016491
2459479.3853594828 1.0001640641 0.0002279462  13.1292331621 28.3939743230 30.3136768295 0.0000015790
2459479.3854928664 1.0002457420 0.0002277607  12.5047159025 29.1591619165 30.9414652368 0.0000017223
2459479.3856262495 1.0001411783 0.0002278062  11.8766457011 29.6047523147 31.2563607854 0.0000016995
2459479.3857596330 1.0001783708 0.0002279558  11.2452537680 29.3985680186 31.3317086730 0.0000016635
2459479.3858930166 0.9994490408 0.0002277929  10.6103894890 29.0344443378 31.4659335836 0.0000016564
2459479.3860264057 1.0001239553 0.0002276778   9.9719642892 29.4054796357 30.9222574646 0.0000016806
2459479.3861597893 0.9997229622 0.0002278572   9.3298116796 28.9874957830 31.0208357705 0.0000016531
2459479.3862931728 1.0000111480 0.0002276758   8.6840530767 29.4206374543 31.1556933480 0.0000016639
2459479.3864265559 0.9997890804 0.0002276849   8.0345467422 29.3216192212 31.5584152734 0.0000016882
2459479.3865599395 1.0003079491 0.0002278576   7.3811923716 29.2522658448 31.9547289650 0.0000015991
2459479.3866933230 1.0004799354 0.0002277618   6.7240035079 29.1091129532 31.1357093604 0.0000016578
2459479.3868267126 1.0002728764 0.0002278516   6.0628384405 29.0786767508 30.7929118136 0.0000016911
2459479.3869600962 1.0000240133 0.0002277807   5.3977974357 29.5625052387 30.4619245431 0.0000016498
2459479.3870934797 0.9999835614 0.0002278201   4.7286067063 29.1904834856 30.7773808304 0.0000017173
2459479.3872268628 1.0004573529 0.0002277821   4.0553083021 29.2038849285 30.7722589949 0.0000016268
2459479.3873602464 1.0004292236 0.0002277849   3.3778884876 29.2417450764 30.9304672830 0.0000016746
2459479.3876270130 1.0000848587 0.0002278269   2.0104177077 29.2605335331 32.1131692594 0.0000016046
2459479.3877603966 0.9996562525 0.0002277168   1.3202741015 29.1451832877 31.8879708902 0.0000016632
2459479.3878937801 0.9997808893 0.0002276280   0.6257991180 29.1636040867 31.2326188201 0.0000016868
2459479.3880271693 1.0007828165 0.0002278850 359.9268720489 29.6240602870 31.0146580851 0.0000016214
2459479.3881605528 0.9999387035 0.0002276935 359.2234457160 29.2693395580 31.2605957920 0.0000016653
2459479.3882939364 0.9998742463 0.0002278444 358.5156735867 29.4850084291 31.4526470524 0.0000016507
2459479.3884273199 0.9999033227 0.0002276963 357.8032727062 29.4592161799 31.1673175192 0.0000016660
2459479.3885607035 0.9997165741 0.0002277637 357.0864100431 29.5061302891 31.6211332590 0.0000016965
2459479.3886940870 0.9997283166 0.0002277228 356.3649419505 29.8711143318 31.8308279547 0.0000016404
2459479.3888274706 0.9998995700 0.0002278399 355.6388119825 29.5108712473 31.4530632269 0.0000016729
2459479.3889608542 1.0000944223 0.0002277155 354.9080227757 29.4653929731 30.8760236057 0.0000016967
2459479.3890942377 1.0000731400 0.0002278124 354.1725676266 29.2527895570 31.1322370263 0.0000017238
2459479.3892276264 0.9994963921 0.0002276449 353.4323785605 29.7117052810 31.2231792174 0.0000016753
2459479.3893610099 0.9998932833 0.0002277693 352.6875446409 29.3231891919 31.2443389829 0.0000016920
2459479.3894943935 1.0000140495 0.0002278684 351.9380087353 28.9145470738 30.1645205668 0.0000016069
2459479.3896277770 0.9997523119 0.0002276908 351.1836732258 28.9317685071 30.8307629187 0.0000017516
2459479.3897611606 0.9998032825 0.0002277889 350.4245575387 28.0693251799 31.1486410747 0.0000016786
2459479.3898945441 1.0001591425 0.0002279895 349.6607007330 29.1721160253 31.5916087765 0.0000016940
2459479.3900279277 0.9998171638 0.0002277971 348.8920848642 29.4134583075 31.0641400593 0.0000017336
2459479.3901613113 0.9998598634 0.0002278929 348.1187087077 29.9601227482 31.2845420973 0.0000016658
2459479.3902946948 1.0002916093 0.0002278443 347.3404975459 29.2375432074 31.3255728864 0.0000016438
2459479.3904280839 1.0001204037 0.0002277621 346.5576359341 29.2905457809 30.4846437283 0.0000016753
2459479.3905614675 0.9999922975 0.0002276719 345.7700758684 29.1712359116 31.2708376737 0.0000016605
2459479.3906948511 1.0000675768 0.0002276898 344.9776639759 29.0874800069 31.3948632852 0.0000016682
2459479.3908282341 1.0000268128 0.0002279024 344.1806698110 28.0719835227 31.3226148935 0.0000016247
2459479.3909616177 1.0001854577 0.0002280061 343.3789980358 28.8836765393 31.3206242576 0.0000016975
2459479.3910950013 0.9999984005 0.0002277465 342.5727277032 29.2234857378 31.4116341310 0.0000016395
2459479.3912283909 0.9999328940 0.0002278686 341.7618116046 29.2402680751 31.4128803545 0.0000016929
2459479.3913617744 0.9998929452 0.0002277491 340.9463551870 29.2409499736 30.9618374205 0.0000016653
2459479.3914951580 1.0003097891 0.0002277567 340.1264795722 29.2737838215 31.3039079100 0.0000016856
2459479.3916285411 1.0001253687 0.0002277604 339.3020737177 27.8689603222 30.7222202938 0.0000015712
2459479.3917619246 1.0001247312 0.0002279143 338.4733603295 29.3566129433 31.2304127010 0.0000017033
2459479.3918953082 0.9996261729 0.0002276516 337.6402406034 29.5688377195 30.9203988711 0.0000017332
2459479.3920286917 1.0002379987 0.0002277783 336.8029622798 29.8027361251 31.0784154745 0.0000016879
2459479.3921620753 0.9998227480 0.0002277313 335.9614948116 29.0017822520 31.3886273561 0.0000016786
2459479.3922954588 0.9997866222 0.0002277234 335.1158734929 29.1031736541 31.5318463502 0.0000016912
2459479.3924288475 0.9999691729 0.0002277156 334.2663141662 29.6185359572 31.0267571071 0.0000017133
2459479.3925622310 0.9999004044 0.0002279106 333.4127751357 29.3230896080 30.6184232476 0.0000017005
2459479.3926956146 1.0000908623 0.0002278280 332.5555123112 29.7686436678 30.7727326366 0.0000016110
2459479.3928289986 0.9998868533 0.0002277849 331.6944529111 29.3010125894 31.3194785084 0.0000016798
2459479.3929623822 1.0000947086 0.0002277362 330.8298467551 29.1468462382 31.5422085034 0.0000016561
2459479.3930957657 1.0000958184 0.0002278938 329.9616485314 28.1590999137 31.7660406308 0.0000016407
2459479.3932291484 1.0000436946 0.0002278082 329.0901720137 29.4345157908 31.2243004429 0.0000017039
2459479.3933625319 1.0002931153 0.0002277428 328.2154398566 29.1397259832 31.4668011484 0.0000016713
2459479.3934959155 1.0006028211 0.0002277348 327.3375460875 29.3654569350 31.1907332905 0.0000016687
2459479.3936293051 1.0000572896 0.0002277962 326.4566532658 29.2802958600 31.0461272391 0.0000017055
2459479.3937626886 0.9999208121 0.0002277990 325.5729159333 29.4126618035 30.7855001090 0.0000017314
2459479.3938960722 1.0003766405 0.0002277407 324.6865497750 29.6855299600 31.1581406938 0.0000016908
2459479.3940294548 1.0000754139 0.0002277149 323.7976133533 29.4891377439 31.4635474324 0.0000017347
2459479.3941628383 1.0000728081 0.0002277426 322.9062048695 29.2744842742 32.1863927051 0.0000017071
2459479.3942962219 1.0000160970 0.0002277076 322.0124706626 29.4877662950 30.8267465987 0.0000016907
2459479.3944296059 0.9995282015 0.0002278437 321.1167667740 29.3009931886 31.5280814484 0.0000017098
2459479.3945629895 1.0003147478 0.0002278197 320.2191201955 29.7065578163 32.0835996347 0.0000016292
2459479.3946963730 1.0001950301 0.0002278534 319.3196798044 28.8324366996 31.7925441052 0.0000016522
2459479.3948297622 1.0003785611 0.0002277936 318.4185833173 29.0892010286 31.1478434890 0.0000016350
2459479.3949631457 0.9996716053 0.0002278381 317.5162024804 29.4807891796 31.3014336976 0.0000017346
2459479.3950965293 1.0003040996 0.0002279536 316.6125338065 30.1825815639 31.6953195864 0.0000017036
2459479.3952299124 1.0002414387 0.0002278054 315.7077745505 29.3430648476 31.4266985150 0.0000016888
2459479.3953632959 1.0003827538 0.0002277800 314.8021290252 29.4110899947 30.9264686077 0.0000017263
2459479.3954966795 1.0000632619 0.0002277807 313.8957878640 29.6427362772 30.7319649872 0.0000017044
2459479.3956300686 1.0000328923 0.0002277535 312.9888305945 29.0610367650 31.7508816552 0.0000016975
2459479.3957634522 0.9997207734 0.0002276925 312.0815869680 29.1503042235 31.8920152777 0.0000017093
2459479.3958968357 1.0003923067 0.0002281720 311.1741887009 29.2694548875 31.9086600491 0.0000017111
2459479.3960302188 1.0001026386 0.0002277820 310.2669093905 30.2602043510 32.1317969858 0.0000017143
2459479.3961636024 1.0003742182 0.0002277950 309.3597172169 29.5013321467 31.6640416326 0.0000016656
2459479.3962969859 1.0003324117 0.0002276800 308.4529451958 29.2127510388 30.7885124987 0.0000017412
2459479.3964303695 0.9999807411 0.0002277966 307.5467504704 29.3076802681 30.9413856038 0.0000017425
2459479.3965637530 0.9998515252 0.0002277187 306.6413128417 29.4541930094 31.1082593028 0.0000017382
2459479.3966971366 1.0001259731 0.0002279025 305.7368381222 29.4945392917 31.7721928545 0.0000017353
2459479.3968305257 1.0002906995 0.0002278245 304.8334346385 29.3460701956 31.2344302079 0.0000017776
2459479.3969639093 0.9999288222 0.0002278098 303.9313704906 28.8643449444 31.5580446158 0.0000017250
2459479.3970972928 1.0002509178 0.0002278110 303.0307489774 28.4333935171 32.2127283283 0.0000016961
2459479.3972306759 1.0004100845 0.0002277770 302.1317164316 28.2680355586 32.0932206736 0.0000016506
2459479.3973640595 1.0000929894 0.0002279663 301.2345766140 28.5242954561 31.9232981044 0.0000016669
2459479.3974974430 1.0002615202 0.0002277985 300.3393857710 29.1179643451 30.8834074344 0.0000017552
2459479.3976308266 0.9999273958 0.0002277489 299.4463330056 30.2569503404 31.4720424519 0.0000017366
2459479.3977642101 1.0000301997 0.0002277424 298.5555464100 29.3647891299 31.0778700835 0.0000017214
2459479.3978975937 1.0002692572 0.0002277633 297.6672392722 29.5363303043 31.2832084196 0.0000017051
2459479.3980309828 0.9997780052 0.0002276632 296.7814893657 29.4046503314 31.6168344666 0.0000017616
2459479.3981643664 0.9999335904 0.0002278261 295.8985456352 29.3661208145 31.0508444133 0.0000017611
2459479.3982977499 1.0002006250 0.0002277723 295.0184911068 29.3935046336 30.7567044617 0.0000017171
2459479.3984311335 1.0000895733 0.0002279605 294.1414095688 29.2823674174 30.5850519385 0.0000017265
2459479.3985645170 1.0003198498 0.0002279353 293.2675026374 29.1472932484 30.7844058197 0.0000017128
2459479.3986979006 1.0001859833 0.0002278038 292.3970083654 29.3742552824 30.8272560026 0.0000017241
2459479.3988312837 1.0003717237 0.0002279473 291.5297744403 29.4562387064 31.0410851828 0.0000017338
2459479.3989646672 0.9999527384 0.0002279085 290.6661073123 29.2718597975 31.5749244646 0.0000017260
2459479.3990980508 1.0003103258 0.0002279503 289.8061120473 29.1887787266 31.3506348488 0.0000017317
2459479.3992314399 0.9998365701 0.0002276105 288.9498458651 29.5019267611 31.4961565462 0.0000017567
2459479.3993648235 0.9995990359 0.0002277403 288.0974129063 29.1675477947 31.0983486434 0.0000017352
2459479.3994982070 1.0000675573 0.0002277554 287.2489202957 29.7038917907 30.9651382022 0.0000017224
2459479.3996315906 1.0001448532 0.0002279063 286.4045062458 29.6376840370 31.1680012101 0.0000017258
2459479.3997649741 0.9999980009 0.0002277352 285.5641803199 29.6181307198 30.9644425948 0.0000017428
2459479.3998983577 1.0000182405 0.0002279302 284.7281235853 29.5230181329 31.2846625167 0.0000017340
2459479.4000317408 0.9999601322 0.0002278995 283.8963037549 28.8451015643 29.8592253026 0.0000016849
2459479.4001651243 0.9998261408 0.0002277198 283.0688539966 29.5496181352 31.0716748783 0.0000017223
2459479.4002985079 1.0002060247 0.0002277839 282.2457587378 29.7329616669 31.2991776492 0.0000016839
2459479.4004318970 1.0000884844 0.0002279362 281.4271460776 29.4895742911 31.2457419012 0.0000017040
